"Content_ID","Map_ID","Content_Concept_1","Content_Relation_Direction","Content_Relation_Type","Content_Concept_2","Content_Username","Content_IP","Content_Date","Content_Merged_Concept_1","Content_Merged_Concept_2","Content_Source_ID","Content_Speech_ID","Content_Remark","User_ID","Content_Relation_Remark_Choice","Content_Relation_Explanation"
20,4,"La France/initiatives","positive","Causal","construction de L'Europe","femke","84.83.226.68","2012/8/2 23:59:20","Our national policies","European integration",11,3,,,,
21,4,"Voyage Pologne & USSr","positive","Causal","rapprochement","femke","84.83.226.68","2012/8/3 00:07:11","Our national policies","Rapprochement between East&ampWest",11,3,,,,
22,4,"Rapprochement","positive","Causal","Grand bien","femke","84.83.226.68","2012/8/3 00:13:07","Rapprochement between East&ampWest","Welfare",11,3,,,,
23,4,"Rapprochement","positive","Causal","paix","femke","84.83.226.68","2012/8/3 00:09:06","Rapprochement between East&ampWest","peace",11,3,,,,
24,4,"Rapprochement","positive","Causal","L'Europe","femke","84.83.226.68","2012/8/3 00:13:44","Rapprochement between East&ampWest","European integration",11,3,,,,
25,4,"Marche Commun","positive","Causal","Revolution dans vie Francais","femke","84.83.226.68","2012/8/3 00:17:37","Common market","Change",12,3,,,,
26,4,"TVA conforme development European","positive","Causal","Competitivite","femke","84.83.226.68","2012/8/3 00:19:36","Common market","competitiveness",12,3,,,,
27,4,"Competitivite","positive","Causal","""levera une hypotheque","femke","84.83.226.68","2013/4/25 20:43:45","competitiveness","Benefit of our state",12,3,"*",,,
28,4,"Competitivite","positive","Causal","economie plus saine","femke","131.211.197.253","2013/3/4 17:13:45","competitiveness","Sound economy",12,3,,,,
29,4,"liberalisation des credits & prix","positive","Causal","investissements et epargne","femke","84.83.226.68","2012/8/3 00:28:47","economic stimulation","investment",13,3,,,,
30,4,"mesures fiscales","positive","Causal","investissements et epargne","femke","84.83.226.68","2012/8/3 00:28:00","economic stimulation","investment",13,3,,,,
31,4,"liberalisation des credits & prix","positive","Causal","""necessaire""","femke","84.83.226.68","2013/4/25 20:43:59","economic stimulation","Benefit of our state",13,3,,,,
32,4,"mesures fiscales","positive","Causal","""necessaire""","femke","84.83.226.68","2013/4/25 20:44:12","economic stimulation","Benefit of our state",13,3,,,,
33,4,"revolution industrielle","positive","Causal","""gouvernment apporter""","femke","84.83.226.68","2013/4/25 20:44:25","Change","Benefit of our state",13,3,,,,
34,5,"Marche Commun","positive","Causal","Risques","femke","131.211.197.253","2012/8/3 14:31:03","Common market","Risks",14,4,,,,
35,5,"Reserves en or","positive","Causal","Franc monnaie solide","femke","131.211.197.253","2012/8/3 14:34:09","goldreserves","Franc fort",14,4,,,,
36,5,"Franc une monnaie solide","positive","Causal","""límportance'","femke","84.83.226.68","2013/4/25 20:44:51","Franc fort","Benefit of our state",14,4,,,,
37,5,"pertes en devises","positive","Causal","Revolution","femke","131.211.197.253","2013/3/4 17:10:47","loss of [foreign] currency","crisis",15,4,,,,
38,5,"pertes en devises","positive","Causal","L'instabilite / franc","femke","84.83.226.68","2012/8/10 16:45:21","loss of [foreign] currency","Franc fort",15,4,,,,
39,5,"l'instabilite franc","negative","Causal","crise de speculation","femke","84.83.226.68","2013/4/25 20:45:07","Franc fort","speculation",15,4,"*",,,
40,5,"línstabilite franc","positive","Causal","charces pour entreprise > hausse des prix","femke","84.83.226.68","2013/4/25 20:45:23","Franc fort","Price stability",15,4,"*",,,
41,5,"l'instabilite franc","negative","Causal","charges entreprise > desequilibre du commerce","femke","84.83.226.68","2013/4/25 20:45:38","Franc fort","Balance-of-trade deficit",15,4,"*",,,
42,5,"l'instabilite franc","negative","Causal","excessive des importations","femke","84.83.226.68","2013/4/25 20:45:53","Franc fort","Balance-of-trade deficit",15,4,"*",,,
43,5,"excessive des importations","positive","Causal",,"femke","131.211.197.253","2012/8/3 14:58:47","Balance-of-trade deficit","French economic policy",15,4,,,,
44,5,"charges nouvelles pour le budget","positive","Causal","deficit","femke","131.211.197.253","2012/8/3 15:05:03","Government expenditure","Budgetary deficits",16,4,,,,
45,5,"deficit","negative","Causal","""lourds sacrifices pour ramener""","femke","84.83.226.68","2013/4/25 20:46:09","Budgetary deficits","Benefit of our state",16,4,"*",,,
46,,"deficit chemins de fer, charbonnage, Sante D'education","positive","Causal","redressement necessaire","femke","131.211.197.253","2012/8/3 16:15:27","Government expenditure","Budgetary deficits",16,4,,,,
47,5,"Deficit des Chemins de fer, charbonnages, Sante, education","positive","Causal","Redressement necessaire","femke","131.211.197.253","2012/8/3 16:20:43","Government expenditure","Budgetary deficits",16,4,,,,
48,6,"de donner","positive","Causal","economie francaise ...dimension... d'abord europe","femke","131.211.197.253","2012/8/3 16:46:54","Our national policies","European integration",18,5,,,,
49,6,"""et quel que soit l'avenir...""","positive","Causal","les entreprise francais soit ententes avec autres entreprises","femke","131.211.197.253","2012/8/3 16:50:28","European integration","competitiveness",18,5,,,,
50,6,"""et par la"" / ""six""","positive","Causal","concurrence","femke","131.211.197.253","2012/8/3 16:52:23","European integration","competitiveness",18,5,,,,
51,6,"""et par la"" / ""marches mondiaux""","positive","Causal","concurrence","femke","131.211.197.253","2012/8/3 16:54:20","Liberalisation","competitiveness",18,5,,,,
52,7,"modification de la parite du franc","positive","Causal","""inevitable'","femke","84.83.226.68","2013/4/25 20:46:50","Devaluation","Benefit of our state",19,6,,,,
53,7,"ce handicap (franc s'echange avec decote importante)","positive","Causal","politique deflation","femke","84.83.226.68","2013/4/25 20:46:38","Franc fort","Price stability",21,6,"*",,,
54,7,"politique deflation brutale","negative","Causal","sacrifices insupportables","femke","84.83.226.68","2013/4/25 20:47:04","Deflationary policy","Benefit of our state",21,6,,,,
55,7,"politique deflation brutale","negative","Causal","chomage massif","femke","84.83.226.68","2013/4/25 20:47:22","Deflationary policy","Employment",21,6,"*",,,
56,7,"politique deflation brutale","negative","Causal","investissements","femke","131.211.197.253","2012/8/3 17:24:48","Deflationary policy","investment",21,6,,,,
57,7,"investissements","positive","Causal","notre avenir","femke","84.83.226.68","2013/4/25 20:47:37","investment","Benefit of our state",21,6,,,,
58,7,"d'alingner le franc ...","non-existent","Causal","relations commerciales avec nos partenaires","femke","131.211.197.253","2012/8/3 17:29:34","Devaluation","Good relations with partners",22,6,,,,
59,7,"pressions exterieures","negative","Causal","d'agir (devaluate)","femke","131.211.197.253","2012/8/3 17:31:33","speculation","Devaluation",23,6,,,,
60,7,"crise speculative","negative","Causal","d'agir (devaluate)","femke","131.211.197.253","2012/8/3 17:32:02","speculation","Devaluation",23,6,,,,
61,7,"Comme cetait le case en 1968 (crise speculative)","negative","Causal","refuse de devaluer","femke","131.211.197.253","2012/8/3 17:33:41","speculation","Devaluation",23,6,,,,
62,7,"redressement de notre commerce exterieur","negative","Causal","sorties de devises","femke","84.83.226.68","2013/4/25 20:47:56","Balance-of-trade deficit","loss of [foreign] currency",24,6,"*",,,
63,7,"Létat de nos reserves & possibilites d'emprunt","negative","Causal","franchir sans difficultes","femke","84.83.226.68","2013/4/25 20:48:11","French good economic & financial situation","Devaluation",25,6,"*",,,
64,7,"D'attendre (to devaluate)","positive","Causal","""absurde""","femke","84.83.226.68","2013/4/25 20:48:29","Devaluation","Benefit of our state",26,6,"*",,,
65,7,"etre constraints par la necessite","positive","Causal","de devaluer","femke","84.83.226.68","2012/8/4 17:35:16","speculation","Devaluation",26,6,,,,
66,7,"Attendre (to devaluate)","negative","Causal","reserves de devises et d'or diminuees","femke","84.83.226.68","2013/4/25 20:48:50","Devaluation","loss of [foreign] currency",26,6,"*",,,
67,7,"Attendre (to devaluate)","negative","Causal","ambiance propice a la speculation","femke","84.83.226.68","2013/4/25 20:49:07","Devaluation","speculation",26,6,"*",,,
68,7,"Une devaluation sous la contrainte immediate","negative","Causal","l'echec","femke","84.83.226.68","2013/4/25 20:49:22","speculation","Benefit of our state",27,6,,,,
69,7,"nous entendons dejouer / secret total / decision aux vacances","negative","Causal","speculation","femke","84.83.226.68","2013/4/25 20:49:37","Our national policies","speculation",28,6,"*",,,
70,7,"devaluation","positive","Causal","base de depart pou le retablissement","femke","131.211.197.253","2013/3/4 17:15:36","Devaluation","Sound economy",30,6,,,,
71,7,"action rigoureuse dans les domaines budgetaire, financiere, economique","positive","Causal","base de depart pou le retablissement","femke","131.211.197.253","2013/3/4 17:16:04","Economic policy change","Sound economy",30,6,,,,
72,7,"volonte depargner les categories plus modestes","positive","Causal","cette action","femke","84.83.226.68","2012/8/4 18:00:50","solidarity","Economic policy change",31,6,,,,
73,7,"cette action","positive","Causal","les conditions dune expansion","femke","84.83.226.68","2012/8/4 18:01:48","Economic policy change","economic growth",31,6,,,,
74,7,"cette action","positive","Causal","developpement durables","femke","84.83.226.68","2012/8/4 18:02:51","Economic policy change","Welfare",31,6,,,,
75,7,"sur la base dúne monnaie assainie","positive","Causal","les conditions dune expansion","femke","84.83.226.68","2012/8/4 18:03:59","Franc fort","economic growth",31,6,,,,
76,7,"sur la base dúne monnaie assainie","positive","Causal","developpement durables","femke","84.83.226.68","2012/8/4 18:04:28","Franc fort","Welfare",31,6,,,,
77,7,"la valeur reele du franc","positive","Causal","puissance economique","femke","84.83.226.68","2012/8/4 18:06:59","Devaluation","economic growth",32,6,,,,
78,7,"notre puissance economique","positive","Causal","progres social","femke","84.83.226.68","2012/8/4 18:08:10","economic growth","Social development",32,6,,,,
79,7,"notre puissance economique","positive","Causal","notre independance","femke","84.83.226.68","2012/8/4 18:08:44","economic growth","national independence",32,6,,,,
80,8,"par les etats","positive","Causal","L'europe","femke","84.83.226.68","2012/8/5 20:54:03","Intergovernmental decisionmaking","European confederation",33,7,,,,
81,8,"mettraient en commun leur politique","positive","Causal","Leurope... association d'etat","femke","84.83.226.68","2012/8/5 20:57:00","European policy harmonisation","European confederation",33,7,,,,
82,8,"le plan douanier","positive","Causal","mettaient en commun leur politique","femke","84.83.226.68","2012/8/5 20:58:18","Common market","European policy harmonisation",33,7,,,,
83,8,"le plan agricole","positive","Causal","mettaient en commun leur politique","femke","84.83.226.68","2012/8/5 20:59:55","CAP","European policy harmonisation",33,7,,,,
84,8,"European economic & monetary cooperation","positive","Causal","mettaient en commun leur politique","femke","84.83.226.68","2012/8/5 21:00:53","European economic & monetary cooperation","European policy harmonisation",33,7,,,,
85,8,"qu'a travers les siecles","positive","Causal","nation europeenne","femke","84.83.226.68","2012/8/5 21:05:05","Long process","European state",34,7,,,,
86,8,"l ídee de demolier au depart les nations europeenes","positive","Causal","a lechec complet","femke","84.83.226.68","2013/4/25 20:50:13","Intergovernmental decisionmaking","benefit of all",34,7,"*",,,
87,8,"petit a petit mettre leur action en accord","positive","Causal","puissance mondiale","femke","84.83.226.68","2012/8/5 21:13:46","European policy harmonisation","Europe as worldpower",35,7,,,,
88,8,"enorme pusissance economique, monetaire, et autre","positive","Causal","puissance mondiale","femke","84.83.226.68","2012/8/5 21:14:35","European economic & monetary cooperation","Europe as worldpower",35,7,,,,
89,8,"ensemples europeens action economique","positive","Causal","puissance mondiale","femke","84.83.226.68","2012/8/5 21:15:19","Common market","Europe as worldpower",35,7,,,,
90,8,"pusissance mondiale ""et autre""","positive","Causal","enorme pusissance economique, monetaire, et autre","femke","84.83.226.68","2012/8/5 21:16:49","Europe as worldpower","European economic and monetary cooperation",35,7,,,,
92,9,"crise de dollar","positive","Causal","catastrophe de tous economie liberale","femke","84.83.226.68","2013/4/25 20:50:40","monetary stability","benefit of all",36,8,"*",,,
93,9,"a commercer par la france","negative","Causal","une monnaie unique","femke","131.211.197.253","2012/8/6 11:17:48","Our national policies","single currency",36,8,,,,
94,9,"a commercer par la france","positive","Causal","une ensemble monetaire","femke","131.211.197.253","2012/8/6 11:18:50","Our national policies","European economic and monetary cooperation",36,8,,,,
95,9,"monnaie unique","negative","Causal","ce [preventing crise dus dollar/catestrophe] qu'il faut","femke","131.211.197.253","2012/8/6 11:23:51","single currency","monetary stability",36,8,,,,
96,9,"un ensemble monetaire","positive","Causal","ce [preventing crise dus dollar/catestrophe] qu'il faut","femke","131.211.197.253","2012/8/6 11:24:24","European economic & monetary cooperation","monetary stability",36,8,,,,
97,9,"un ensemble monetaire","positive","Causal","pays europeens puissent /equilibrer par leur masse economique le dollar","femke","131.211.197.253","2012/8/6 11:25:54","European economic & monetary cooperation","Europe as worldpower",36,8,,,,
98,9,"nous avons","positive","Causal","en ce sens [ensemble monetaire] depose propositions","femke","131.211.197.253","2012/8/6 11:45:05","Our national policies","European monetary zone",37,8,,,,
99,9,"entendre entre nous, aide partenaires","positive","Causal","cela veut dire [ensemble monetaire]","femke","131.211.197.253","2012/8/6 11:46:09","solidarity","European monetary zone",37,8,,,,
100,9,"eviter que les marges de fluctuation entre les monnaires europeennes puissent s'accroitre","positive","Causal","cela veut dire [ensemble monetaire]","femke","131.211.197.253","2012/8/6 11:46:31","exchange rate harmonisation","European monetary zone",37,8,,,,
101,9,"cela veut dire [ensemble monetaire]","positive","Causal","une grande force","femke","84.83.226.68","2013/4/25 20:51:19","European monetary zone","Europe as worldpower",37,8,"*",,,
102,9,"accroissement des marges.. refuseraient","positive","Causal","certaine unite","femke","84.83.226.68","2013/4/25 20:51:37","exchange rate harmonisation","European confederation",37,8,"*",,,
103,9,"d'aide mutuelle","positive","Causal","cela veut dire [ensemble monetaire]","femke","84.83.226.68","2013/10/23 10:03:01","Exchange rate support","European monetary zone",37,8,,,,
104,9,"concertation mutuelle","positive","Causal","cela veut dire [ensemble monetaire]","femke","131.211.197.253","2012/8/6 11:48:43","European economic & monetary cooperation","European monetary zone",37,8,,,,
105,9,"harmonisation des politique economique","positive","Causal","cela veut dire [ensemble monetaire]","femke","131.211.197.253","2012/8/6 11:50:13","economic policy harmonisation","European monetary zone",37,8,,,,
106,9,"long chemin a parcourir...","positive","Causal","monnaie unique","femke","131.211.197.253","2012/8/6 11:52:47","Long process","single currency",38,8,,,,
107,9,"fixons pas de date trop rapporche ...","positive","Causal","monnaie unique","femke","131.211.197.253","2012/8/6 11:57:31","Long process","European monetary zone",40,8,,,,
108,9,"les gouvernement.. se rencontrent pour parler ... harmoniser les positions","positive","Causal","""je suis partisan""","femke","84.83.226.68","2013/4/25 20:51:52","European policy harmonisation","Benefit of our state",41,8,,,,
109,9,"harmonisation","positive","Causal","unifier","femke","131.211.197.253","2012/8/6 12:07:35","European policy harmonisation","European integration",41,8,,,,
110,9,"une confederation europeenne","positive","Causal","pour ma part ""souhaitable""","femke","84.83.226.68","2013/4/25 20:52:12","European confederation","benefit of all",42,8,,,,
111,9,"bruler les etapes","positive","Causal","une confederation europeenne","femke","131.211.197.253","2012/8/6 12:10:48","Long process","European confederation",42,8,,,,
112,10,"goal of eur. policy","negative","Causal","conditions have not been met for.. true federation","femke","84.83.226.68","2012/8/7 17:20:07","Our national policies","European state",43,9,,,,
113,10,"gradual rapprochement.. eur states","positive","Causal","harmonize their policies","femke","84.83.226.68","2012/8/7 17:21:04","European cooperation","European policy harmonisation",43,9,,,,
114,10,"harmonize their policies","positive","Causal","next stage","femke","84.83.226.68","2012/8/7 17:21:44","European policy harmonisation","Completion of EEC",43,9,,,,
116,10,"common market","positive","Causal","united europe (see remainder of speech)","femke","84.83.226.68","2012/8/7 17:24:40","Common market","European confederation",44,9,,,,
117,11,"Deutsche aussenpolitik","positive","Causal","Friedens","femke","84.83.226.68","2012/8/7 12:14:56","Our national policies","peace",51,10,,,,
118,10,"consultation between governments","positive","Causal","united europe","femke","84.83.226.68","2012/8/7 17:24:13","Mutual consultations","European confederation",44,9,,,,
119,10,"refusal to sacrifice vital french interests","non-existent","Causal","'was never obstacle' (to Eur int)","femke","84.83.226.68","2013/4/25 20:39:56","national interest","European confederation",44,9,"*",,,
120,10,"Protection of French farmers","non-existent","Causal","'for instance'","femke","84.83.226.68","2013/4/25 20:40:10","national interest","European confederation",44,9,"*",,,
121,10,"necessary settlements","positive","Causal","when had to be made (to achieve eur int)","femke","84.83.226.68","2013/4/25 20:40:27","Compromise","European confederation",44,9,"*",,,
122,10,"integration (see remainder of sentence)","negative","Causal","European unity","femke","84.83.226.68","2012/8/7 17:29:25","European political integration","European confederation",45,9,,,,
123,10,"political integration","negative","Causal","European state","femke","84.83.226.68","2012/8/7 17:30:01","European political integration","European state",45,9,,,,
124,10,"pol authority responsible to those involved (see remainder of sentence)","negative","Causal","'no major decision involving lives can be taken""","femke","84.83.226.68","2013/4/25 20:40:42","Political will","benefit of all",45,9,,,,
125,10,"political integration","negative","Causal","Decisionmaking by non-elected officials","femke","84.83.226.68","2012/8/7 17:33:09","European political integration","Decisionmaking by non-elected officials",45,9,,,,
126,,,"negative","Utility","Decisionmaking by non-elected officials","femke","84.83.226.68","2012/8/7 10:39:06","Decisionmaking by non-elected officials","benefit of all",46,9,,,,
127,,"decisionmaking by politicians","positive","Causal",,"femke","84.83.226.68","2012/8/7 10:39:57","Political will","European integration",46,9,,,,
128,10,"technocracy","negative","Causal","'no better","femke","84.83.226.68","2013/4/25 20:40:54","Decisionmaking by non-elected officials","benefit of all",46,9,,,,
129,10,"agreeement between governments","positive","Causal","progress","femke","84.83.226.68","2013/4/25 20:41:06","Intergovernmental decisionmaking","benefit of all",46,9,,,,
130,10,"Europe","positive","Causal","essential rol in world... comparable to SU or USA","femke","84.83.226.68","2012/8/7 17:41:21","European confederation","Europe as worldpower",47,9,,,,
132,10,"Europe be European","positive","Causal","'on dthe condition","femke","84.83.226.68","2012/8/7 17:42:33","European independence","Europe as worldpower",48,9,,,,
133,11,"Europa politik","positive","Causal","Friedens","femke","84.83.226.68","2012/8/7 12:15:37","Our national policies","peace",51,10,,,,
134,11,"unsere Sicherheitspolitik","positive","Causal","Friedens","femke","84.83.226.68","2012/8/7 12:16:16","Our national policies","peace",51,10,,,,
135,11,"sich wandelenden east-west beziehungen","positive","Causal","Frieden","femke","84.83.226.68","2012/8/7 12:13:27","Rapprochement between East&ampWest","peace",51,10,,,,
136,11,"Einigung ... politische","positive","Causal","Frieden","femke","84.83.226.68","2012/8/7 12:18:01","European political unification","peace",52,10,,,,
137,11,"Einigung ... politische","positive","Causal","Wohlfahrt","femke","84.83.226.68","2012/8/7 12:19:17","European political unification","Welfare",52,10,,,,
138,11,"Einigung ... politische","positive","Causal","Friedensordnung","femke","84.83.226.68","2012/8/7 12:19:35","European political unification","peace",52,10,,,,
139,11,"Einigung ... wirtschaftliche","positive","Causal","Frieden","femke","84.83.226.68","2012/8/7 12:20:09","European political unification","peace",52,10,,,,
140,11,"Einigung ... wirtschaftliche","positive","Causal","Friedensordnung","femke","84.83.226.68","2012/8/7 12:20:24","European political unification","peace",52,10,,,,
141,11,"Einigung ... wirtschaftliche","positive","Causal","Friedensordnung","femke","84.83.226.68","2012/8/7 12:20:40","European political unification","peace",52,10,,,,
142,11,"Deutsch-franzososichen vertrag","positive","Causal","""hieraus ergib sich""","femke","84.83.226.68","2012/8/7 12:24:54","French German cooperation","European unification",53,10,,,,
143,11,"beitritts GB / groseren EU","positive","Causal","risiko","femke","84.83.226.68","2013/3/10 13:49:42","Enlargement of EU","Risks",54,10,,,,
144,11,"heutigen grenzen nich ausreichen","positive","Causal","Europa in der welt... potential...kraft","femke","84.83.226.68","2013/4/23 21:10:18","Enlargement of EU","Europe as worldpower",55,10,"*",,,
145,11,"heutigen grenzen nich ausreichen","positive","Causal","politisch& wirtshaftlich starken Europas","femke","84.83.226.68","2013/4/23 21:11:43","Enlargement of EU","Political & economic strong Europe",55,10,"*",,,
146,12,"ziele deutsche politik","positive","Causal","politischen einigung europas","femke","84.83.226.68","2012/8/7 12:38:05","Our national policies","European political unification",56,11,,,,
147,12,"ziele deutsche politik","positive","Causal","wirtschafliche einigung europas","femke","84.83.226.68","2012/8/7 12:39:07","Our national policies","European economic unification",56,11,,,,
148,12,"europa","positive","Causal","""bedeutung.. wir""","femke","84.83.226.68","2013/4/24 19:34:28","European unification","Benefit of our state",56,11,,,,
149,12,"deutsche politik","positive","Causal","forderung der bestehenden europaischen gemeinschaften","femke","84.83.226.68","2012/8/7 12:42:04","Our national policies","Completion of EEC",57,11,,,,
150,12,"teilnahme GB und anderer","positive","Causal","""wir... begrussen""","femke","84.83.226.68","2013/4/24 19:34:41","Enlargement of EU","Benefit of our state",57,11,,,,
151,12,"allen eur. staten offenstehen","positive","Causal","""nach unseren uberzeugung""","femke","84.83.226.68","2013/4/24 19:34:56","Enlargement of EU","Benefit of our state",57,11,,,,
152,12,"es (teilnahme GB und anderer)","positive","Causal","moglichst umfassende kooperation","femke","84.83.226.68","2013/3/10 13:51:21","Enlargement of EU","Completion of EEC",57,11,,,,
153,12,"es (teilnahme GB und anderer)","positive","Causal","eigenen interessen","femke","84.83.226.68","2013/3/10 13:51:41","Enlargement of EU","Benefit of our state",57,11,,,,
154,12,"Deutsch-franzosische zusammenarbeit","positive","Causal","zukunft europas","femke","84.83.226.68","2013/4/24 19:35:10","French German cooperation","European integration",58,11,,,,
155,12,"Deutsch-franzosische zusammenarbeit","positive","Causal","ohne rechte anderer einzugreifen","femke","84.83.226.68","2013/4/24 19:35:24","French German cooperation","benefit of all",58,11,"*",,,
156,12,"Einigung europas","positive","Causal","interesse jener eur. volker","femke","84.83.226.68","2013/4/24 19:35:37","European unification","benefit of all",59,11,,,,
157,12,"solch Einiges europas","positive","Causal","Friedensordnung","femke","84.83.226.68","2012/8/7 12:51:28","European unification","peace",59,11,,,,
158,13,"verschiedene wirts. und wahrungpolitik eur. lander","positive","Causal","devisenuberschusse","femke","84.83.226.68","2012/8/7 13:25:17","economic policy harmonisation","German current account surplus",60,12,,,,
159,13,"verschiedene wirts. und wahrungpolitik eur. lander","positive","Causal","deficite","femke","84.83.226.68","2012/8/7 13:24:32","economic policy harmonisation","Current account deficits in foreign countries",60,12,,,,
160,13,"verschiedene wirts. und wahrungpolitik eur. lander","positive","Causal","devisenuberschusse","femke","84.83.226.68","2012/8/7 13:27:56","monetary policy harmonisation","German current account surplus",60,12,,,,
161,13,"verschiedene wirts. und wahrungpolitik eur. lander","positive","Causal","deficite","femke","84.83.226.68","2012/8/7 13:28:15","monetary policy harmonisation","Current account deficits in foreign countries",60,12,,,,
162,13,"DM stabil","positive","Causal","deutschen interessen","femke","84.83.226.68","2013/4/24 19:36:19","Stable DM","Benefit of our state",61,12,,,,
163,13,"preise fest","positive","Causal","deutschen interessen","femke","84.83.226.68","2013/4/24 19:36:46","Price stability","Benefit of our state",61,12,,,,
164,13,"arbeitzplatze gesichert","positive","Causal","deutschen interessen","femke","84.83.226.68","2013/4/24 19:42:59","Employment","Benefit of our state",61,12,,,,
165,13,"einschneidende masnahme.. unsere unterhandler","positive","Causal","solidaritat","femke","84.83.226.68","2012/8/7 13:32:03","Our national policies","solidarity",62,12,,,,
166,13,"einschneidende masnahme.. unsere unterhandler","positive","Causal","opfer","femke","84.83.226.68","2012/8/7 13:32:31","Our national policies","Sacrifices",62,12,,,,
167,13,"einschneidende masnahme.. unsere unterhandler","positive","Causal","im gesamtinteresse der europaischen wirtschaftlische entwicklung","femke","84.83.226.68","2012/8/7 13:34:05","Our national policies","European economic integration",62,12,,,,
168,13,"einschneidende masnahme.. unsere unterhandler","positive","Causal","unseren nachbarn erleitern","femke","131.211.197.174","2013/8/5 14:16:57","Our national policies","Trust in our country",62,12,,,,
169,13,"einschneidende masnahme.. unsere unterhandler","positive","Causal","im gesamtinteresse","femke","84.83.226.68","2012/8/7 13:35:40","Our national policies","benefit of all",62,12,,,,
170,13,"unseren hohen devisenbestanden","negative","Causal","interesse gegensatz","femke","84.83.226.68","2012/8/7 13:36:46","German current account surplus","Harmonisation of European interests",63,12,,,,
171,,"unseren hohen devisenbestanden","negative","Causal","wahrungssituation kritischer","femke","84.83.226.68","2012/8/7 13:39:41","German current account surplus","monetary stability",63,12,,,,
172,13,"unseren hohen devisenbestanden","negative","Causal","wahrungssituation kritischer","femke","84.83.226.68","2012/8/7 13:41:58","German current account surplus","monetary stability",63,12,,,,
173,13,"wiedergewonnenen Vertrauen","positive","Causal","""Gut fur uns""","femke","84.83.226.68","2013/4/24 19:43:43","Trust in Germany","Benefit of our state",63,12,,,,
174,13,"eur solidaritat","positive","Causal","""dringlichkeit""","femke","84.83.226.68","2013/4/24 19:43:58","solidarity","benefit of all",63,12,,,,
175,14,"frage in Bonn anders beurteilt als in Paris","non-existent","Causal","d-f beziehungen verbessert","femke","84.83.226.68","2012/8/7 14:52:22","national interest","French-German Friendship",64,13,,,,
176,14,"f-d beziehungen","positive","Causal","Europaischen einigung","femke","84.83.226.68","2012/8/7 14:53:07","French-German Friendship","European unification",64,13,,,,
177,14,"umfassendes Europa","positive","Causal","""wir wollen'","femke","84.83.226.68","2013/4/24 19:44:27","Completion of EEC","Benefit of our state",66,13,,,,
178,14,"zugehorigkeit GB","positive","Causal","umfassendes Europa","femke","84.83.226.68","2013/3/10 13:52:49","Enlargement of EU","Completion of EEC",66,13,,,,
179,14,"einiges Westeuropa","positive","Causal","interesssenausgleich","femke","84.83.226.68","2012/8/7 14:58:31","European unification","Harmonisation of European interests",66,13,,,,
