"Speech_ID","Speech_Identifier","Speech_Name","Speech_Speaker_ID","Speech_Date","Speech_Location","User_ID"
23,"Brandt 1971-10-24","Speech during the 9th Annual Meeting of the trade union for press and paper (IG Druck und Papier) in Nürnberg",3,"1971-10-24","Nurnberg",
24,"EC COM96 495","Stability pact for ensuring budgetary disciplin in stage three of EMU - explanatory memorandum",11,"01-01-1996","Brussels",
25,"Weber 2010-04-26","Germany and the financial crisis: challenges and opportunities",6,"04-26-2010","Luncheon speech at the American Council on Germany in New York",
26,"Weber 2011-02-07","The Euro: Opportunities and Challenges",6,"02-07-2011","Ragnar Nurkse-Lecture, Tallinn",
28,"Weber 2010-10-12","Monetary policy after the crisis: A European perspective",6,"10-12-2010","Shadow Open Market Committee (SOMC) Symposium, New York",
29,"Weber 2011-04-13","Challenges for monetary policy in EMU",6,"04-13-2011","Homer Jones Memorial Lecture at the Federal Reserve Bank of St. Louis, St Louis",
30,"Weber 2011-05-11","Interview mit Bundesbankprasident Axel Weber",6,"05-11-2011","Borsen-zeitung",
31,"Weber 2006-02-20","Perspektiven europaischer Geldpolitik",6,"02-20-2006","Wurttembergische Verwaltungs- und Wirschaftsakademie, Stuttgard",
32,"Weber 2006-03-16","The Role of money in monetary policy of the Eurosystem",6,"03-16-2006","ECB colloquium in honour of Otmar Issing, Frankfurt",
33,"Weber 2007-12-01","Slaying the inflationary dragon: TIE's exclusive interview with Bundesbank President Axel Weber",6,"12-01-2007","The international Economy - journal",
34,"Weber 2008-04-15","Der Euro - Zwischenbilanz und Ausblick",6,"04-15-2008","Vorstellung von Otmar Issings neuem buch 'Der Euro. Geburt, Erfolg, Zukunft, Frankfurt",
35,"Merkel 2010-02-23","Der 'Financial Times Deutschland'zum Zehnjahrigen",5,"02-23-2010","Hamburg",
36,"Merkel 2010-05-20","Rede von Bundeskanzlerin Angela Merkel bei der internationalen Finanzmarktkonferenz im Bundesfinanzministerium",5,"05-20-2010","Berlin",
37,"Merkel 2010-11-02","Rede von bundeskanzlerin Merkel anlasslich der eroffnung des 61. akademischen jahres des Europakollegs Brugge",5,"11-02-2010","Brugge",
38,"Merkel 2011-01-28","Rede von Bundeskanzlerin Angela Merkel anlasslich des jahrestreffens 2011 des World Economic Forum",5,"01-28-2011","Davos",
39,"Merkel 2011-06-09","Adress by Federal Chancellor Angela Merkel as part of the Singapore Lectures of the Institute of Southeast Asian Studies",5,"06-09-2011","Singapore",
40,"Merkel 2011-09-16","Deutschland kann es nur gut gehen, wenn es mittelfristig auch Europa gut geht",5,"09-16-2011","Deutschen Handwerkstag in Berlin",
41,"Weber 2009-03-17","What role is economic and monetary union playing in mitigating the impact of the global crisis/",6,"03-17-2009","Dinner speech at the 964th Wilton Park Conference, Eltville-Erbach",
42,"Weber 2007-02-06","Acht jahre Euro - Deutschland in der wahrungsunion",6,"02-06-2007","8e Wirtschaftsforum der fachhochschule Amberg-Weiden in Weiden",
43,"Merkel 2007-01-15","Rede von Bundeskanzlering Angela Merkel in Ljubljana anlasslich des festaktes zure Euro-einfuhrung in Slowenien",5,"01-15-2007","Ljubljana",
44,"Merkel 2008-02-19","Laudatio von Bundeskanzlerin Merkel anlasslich der verleihung des Deutschen Staatsburgerpreises an den luxemburgischen premierminister Jean-Claude Juncker",5,"02/19/2009","Berlin",
45,"Merkel 2008-06-03","Rede von Bundeskanzlerin Angela Merkel anlasslich des festakts zum zehnjahrigen jubilaum der Europaischen Zentralbank",5,"06-03-2008","Frankfurt",
46,"Merkel 2009-01-19","Entschlossen in der Krise, starker in die zukunft, verantwortliche politik fur Deutschland und Europa",5,"01/19/2009","Namenbeitrag von Bundeskanzlerin Angela Merkel Le Monde, etc",
47,"Merkel 2009-05-27","Humboldt-rede zu Europa. Wir mussen unsere starke, die wir nach innen gewonnen haben, jetzt auch nach aussen wenden, um einen beitrag fur eine friedliche, sichere und freiheitliche welt zu leisten. Ich glaube Europa kann das.",5,"05-27-2009","Berlin",
48,"Merkel 2007-01-30","Rede von Bundeskanzlerin Angela Merkel anlasslich des Europatages de Deutschen wirtschaft",5,"01-30-2007","Berlin",
49,"Merkel 2009-01-30","Ein klarer kompass in der krise",5,"01-30-2009","Weltwirschaftsforum, Davos",
50,"Noyer 2007-04-16","From Maastricht to the Present and Beyond",12,"04-16-2007","GIC/Drexel Spring Conference",
51,"Noyer 2006-01-18","The Eurosystem's Single Monetary Policy: A View from the Inside",12,"01-18-2006","GIC Conference, Federal Reserve Bank of Philadelphia, Philadelphia",
52,"Noyer 2010-03-25","Europe and the world in the fact of the crisis: challenges and prospects",12,"03-25-2010","Vannes",
53,"Noyer 2010-06-17","Sovereign crisis, risk contagion and the response of the central bank",12,"06-17-2010","GIC Conference, Paris",
54,"Noyer 2011-05-16","The Euro Area: Challenges and Responses",12,"05-16-2011","Tokyo",
55,"Noyer 2002-03-22","Speech by C Noyer, Vice-president of the ECB",12,"03-22-2002","University of Nantes",
65,"Kenny 2012-07-04","Statement by the Taoiseach on the outcome of the meetings of the European Council and Eiro Summit, Brussels",13,"2012-07-04","Dublin",4
73,"Pompidou 1971-01-21","Conference de presse, Paris",4,"1971-01-21","Paris",1
74,"Pompidou 1971-01-25","Speech held on the occasion of the Diner at the Elysée in the honour of Willy Brandt, Chancellor of the German Federal Republic",4,"1971-01-25","Paris",1
75,"Pompidou 1971-09-23","Pressconference held at the Elysée",4,"1971-09-23","Paris",1
76,"Pompidou 1971-12-22","Interview Televisee",4,"1971-12-22","Paris",1
77,"Pompidou 1972-10-19","Declaration during the open session of the Conference of Heads and State and Governement of the member states of the European Communities in Paris",4,"1972-10-19","Paris",1
93,"Mitterand 1983-12-06","Je crois a la necessite historique de l'europe. Speech held at the European Council in Greece",2,"1983-12-06","Greece",1
94,"Kohl 1986-10-23","Die Rolle der Bundesrepublik Deutschland in der internationalen Politik",1,"1986-10-23","Chicago Council on Foreign Relations, Chicago",1
95,"Kohl 1987-02-04","Das Erbe Ludwig Erhards - Herausforderung an die Wirtschaftspolitik",1,"1987-02-04","Bonn",1
96,"Kohl 1988-01-22","Fur eine gemeinsame europaische Sicherheitspolitik",1,"1988-01-22","Festakt zum 25. Jahrestag des Deutsch-Franzosischen Vertrages, Paris",1
97,"Kohl 1988-03-15","Europas Zukunft – Vollendung des Binnenmarktes 1992",1,"1988-03-15","meeting of German entrepreneurs, Bonn",1
98,"Kohl 1988-06-12","Zum 40. Jahrestag der Währungs- und Wirtschaftsreform",1,"1988-06-12","Dies of the Ludwig-Erhard Foundation, Frankfurt",1
99,"Kohl 1989-01-18","Jahre Bundesrepublik Deutschland – Unsere Verantwortung für Deutschlands Zukunft",1,"1989-01-18","Opening of the CDU Congress on the theme of “40 years of German Federal Republic: Peace – Freedom – Social Justice”, Bonn",1
100,"Mitterand 1984-02-07","‘François Mitterrand addresses European Public Opinion’. Speech to the Dutch Parliament",2,"1984-02-07","Dutch Parliament",5
101,"Mitterand 1987-10-13","Speech held at the European College in Bruges, at the occasion of the opening ceremonial of the academic year of the European College",2,"1987-10-13","Bruges",5
102,"Mitterand 1988-04-14","‘Europe and France in François Mitterrand’s View. A long letter to All French Citizens’. Written prior to the 1988 presidential elections",2,"1988-04-14",,5
103,"Trichet 2010-04-29","Keynote Speech at the 9th Munich Economic Summit",10,"2010-04-29","Munich",5
104,"Trichet 2010-06-09","European Integration: The Benefits of Acting Collectively. Speech at the Feri Foundation Award Ceremony Kaisersaal, Frankfurt am Main",10,"2010-06-09","Frankfurt am Main",5
105,"Trichet 2010-12-03","Lessons from the Crisis. Speech at the European American Press Club, Paris",10,"2010-12-03","Paris",5
106,"Trichet 2011-02-11","The Essence of Economic and Monetary Union. Speech as the Guest of Honour at the Schaffermahlzeit, Bremen",10,"2011-02-11","Bremen",5
107,"Zapatero 2011-07-27","Speech by the President of the governement at the plenary session of the lower house of parliament to report on the summit of eurogroup heads of state and governement",18,"2011-07-27","Lower house of parliament, Madrid",4
108,"Zapatero 2010-10-29","President of the Government's press conference following the meeting of the European council",18,"2011-10-29","Brussels",4
109,"Zapatero 2010-06-23","Speech by the President of the governement in parliament to report on the previous European Council held in Brussels and to give an assessment of the spanish presidency of the EU",18,"2010-06-23","Parliament",4
111,"Zapatero 2010-12-22","Speech by the President of the governement at the plenary session of the lower house of parliament to report on the European council in Brussels",18,"2010-12-22","Parliament",4
112,"Zapatero 2011-02-04","Press conference by the president of the government after the meeting of the european council",18,"2011-02-04","Brussels",4
113,"Zapatero 2011-03-25","Press conference with the president of the government following the european council meeting",18,"2011-03-25","Brussels",4
115,"Zapatero 2011-07-21","Press conference by the president of the government after the summit of eurozone HoSG",18,"2011-07-21","Brussels",4
116,"Zapatero 2011-08-23","Speech by the President of the governement at the extraordinary plenary session of the lower house of parliament to ratify the royal decree law on fiscal and healthcare measures",18,"2011-08-23","Parliament",4
117,"Zapatero 2011-11-04","Press conference of the president of the government following G-20 summit",18,"2011-11-04","Cannes",4
118,"Zapatero 2010-05-31","Speech by the president of the government at the conference on community and european affairs committees",18,"2010-05-31","Parliament, Madrid",4
119,"Zapatero 2011-06-24","press conference by the president of the government following the european council meeting",18,"2011-06-24","Brussels",4
120,"Zapatero 2010-05-12","Speech delivered in parliament to inform MPs of extraordinary Eurogroup meeting on the rescue plan for Greece and the situation of the financial markets",18,"2010-05-12","Parliament, Madrid",4
121,"zapatero 2008-10-16","Press conference of the President of the Government after the meeting of the European Council",18,"2008-10-16","Brussels",4
122,"zapatero 2008-11-03","Press Conference of the President of the Government and the President of the European Commission",18,"2008-11-03","Madrid",4
123,"zapatero 2008-12-17","Press conference of the President of the Government after the meeting of the European Council",18,"2008-12-17","Brussels",4
124,"zapatero 2009-02-12","Speech and subsequent colloquium by the President of the Government to present the goals of the Spanish Presidency of the European Union during an event organized by the Association of European Journalists",18,"2009-02-12","Madrid",4
125,"zapatero 2009-03-20","Press conference of the President of the Government after the meeting of the European Council",18,"2009-03-20","Brussels",4
126,"zapatero 2009-04-29","Press conference of the President of the European Commission and of the President of the Government",18,"2009-04-29","Brussels",4
127,"Sarkozy 2010-08-25","Speech by Nicolas Sarkozy at the annual Ambassadors of France' Conference",19,"2010-08-25","Paris",1
128,"Sarkozy 2011-08-31","XIXth Ambassador's of France Conference Speech by Nicolas Sarkozy",19,"2011-08-31","Paris",1
129,"Sarkozy 2011-01-13","Discours de voeux du President Nicolas Sarkozy aux forces economique",19,"2011-01-13","Toulouse",1
130,"zapatero 2009-03-01","Press conference of the President of the Government after the Extraordinary European Council",18,"2009-03-01","Brussels",4
131,"zapatero 2009-06-24","Words of the President of the Government during the Plenary Session of the Congress of Deputies in order to inform about the results of the European Council in Brussels",18,"2009-06-24","Madrid",4
132,"zapatero 2009-03-25","Speech of the President of the Government during the Plenary Session at the Congress of Deputies in order to inform about the results of the European Council in Brussels",18,"2009-03-25","Madrid",4
133,"Cowen 2010-11-16","Taoiseach's Speech Financial Stability Developments in Ireland and elsewhere 16th November 2010",14,"2010-11-16",,4
134,"Sarkozy 2007-08-30","Discours de M. le President de la Republique (1)",19,"2007-08-30","Universite dete de MEDEF, Jouy-en-Josas",1
135,"Sarkozy 2007-07-02","Discours de M. le President de la Republique (2)",19,"2007-07-02","Strasbourg",1
136,"Sarkozy 2009-05-05","La France et l'Europe. Discours de M le President de la Republique Francaise",19,"2009-05-05","Nimes (Gard)",1
137,"Sarkozy 2008-07-10","Discours au Parlement europeen",19,"2008-07-10","Strasbourg (Bas-Rhin)",1
138,"Sarkozy 2008-10-21","Allocution de M. le President de la Republique Francaise",19,"2008-10-21","Strasbourg (Bas-Rhin)",1
139,"Sarkozy 2008-10-23","Mesures de soutien a leconomie. Discours de M. le President de la Republique Francaise",19,"2008-10-23","Argonay (Haute-Savoie)",1
140,"Sarkozy 2008-12-04","Plan de relance de leconomie francaise. Discours de M. le President de la Republique",19,"2008-12-04","Douai",1
141,"Sarkozy 2009-03-12","Declaration lors du 11e Conseil des ministres franco-allemand",19,"2009-03-12","Berlin, Allemagne",1
142,"zapatero 2005-04-06","Intervención del Presidente del Gobierno en el Pleno del Congreso de los Diputados para informar sobre las conclusiones del Consejo Europeo de Bruselas",18,"2005-04-06","Madrid",4
143,"zapatero 2006-06-07","Discurso del Presidente del Gobierno en la cena con el Consejo de Gobierno del Banco Central Europeo",18,"2006-06-07","Madrid",4
144,"Cowen 2005-06-24","Speech by the Minister for Finance of Ireland, Mr Brian Cowen TD Beijing, Friday - 24 June 2005",14,"2005-06-24","Beijing",4
145,"Cowen 2006-04-13","Address by the Minister for Finance, Brian Cowen T.D. to the Real Estate Alliance Property Conference 13 April 2006",14,"2006-04-13","Dublin",4
146,"Sarkozy 2010-05-20","Conclusion de la 2eme session de la Conference sur le deficit. Allocution de M. le President de la Republique",19,"2010-05-20","Palais de l'Elysee",1
147,"Sarkozy 2010-01-07","Colloque <<Nouveau monde, nouveau capitalisme>>. Allocution de M. le President de la Republique Francaise",19,"2010-01-07","Ecole Militaire, Paris",1
148,"Cowen 2007-10-13","A Positive Policy Agenda Speech by the Tánaiste, Brian Cowen, T.D. at the Dublin Economics Workshop Conference, Kenmare",14,"2007-10-13","Dublin",4
149,"Cowen 2008-02-29","Address by the Tánaiste and Minister for Finance, Brian Cowen T.D. to the Irish Taxation Institute, Friday 29 February 2008",14,"2008-02-29","Dublin",4
150,"Cowen 2011-01-19","Taoiseach's Statement on the outcome of the Meeting of the European Council 19  January  2011",14,"2011-01-19","Dublin",4
151,"Cowen 2010-01-11","Speech by the Taoiseach Mr. Brian Cowen TD at the Citi Research Day, in the Shelbourne Hotel on Monday 11th January 2010 at 12.45pm.",14,"2010-01-11","Dublin",4
152,"Cowen 2010-05-07","Keynote Address by the Taoiseach, Mr. Brian Cowen, T.D., to the Opening Plenary of the Trilateral Commission (Europe)",14,"2010-05-07","Dublin",4
153,"Cowen 2010-07-07","Statement by the Taoiseach, Mr. Brian Cowen T.D. to Dáil Éireann on Wednesday 7 July 2010 on the outcome of the June European Council",14,"2010-07-07","Dublin",4
154,"Cowen 2006-02-24","Address by the Minister for Finance, Mr. Brian Cowen T.D. to the Irish Taxation Institute - Friday, 24 February 2006",14,"2006-02-24","Dublin",4
155,"Cowen 2009-01-15","Address at Keio University by the Taoiseach, Mr. Brian Cowen T.D. Ireland, Europe and Japan - Partners in the Wider World 15 January 2009",14,"2009-01-15","Tokyo",4
156,"EC 2010 250","Reinforcing economic policy coordination. Communication from the Commission to the European Parliament, he European Council, the Council, the European Central Bank, the Economic and Social Committee and the Committee of the Regions",11,"05-12-2010","Brussels",1
157,"Honohan 2011-08-12","Good times and bad for a globalised economy - macroeconomic policy lessons from Ireland",20,"2011-08-12","Dar es Salaam, Tanzania",4
158,"Fernández Ordóñez 2010-06-16","Presentation of the anual report 2009",21,"2010-06-16","Madrid",4
159,"Fernández Ordóñez 2011-06-03","Pressing tasks needed to improve Spain's economy",21,"2011-06-03","Sitges",4
160,"Honohan 2011-03-15","Risk: Banks and Government",20,"2011-03-15","Geneva",4
161,"Weber 2010-05-19","The G20 agenda on financial regulation",6,"2010-05-19","Berlin",4
162,"Fernández Ordóñez  2011-03-11","Speech at the Council on Foreign Relations",21,"2011-03-11","New York",4
163,"Honohan 2010-05-11","Two-way interdependence between the banking system and the State",20,"2010-05-11","Dublin",4
164,"Honohan 2010-06-14","International credit and financial market integration – after the storm?",20,"2010-06-14","Dublin",4
168,"Merkel 2013-11-21","Rede von Bundeskanzlerin Merkel zum „Führungstreffen Wirtschaft“ der Süddeutschen Zeitung",5,"2013-11-21","Berlin",4
169,"Merkel 2012-02-27","Regierungserklärung von Bundeskanzlerin Merkel zu Finanzhilfen für Griechenland und Europäischer Rat am 1./2. März 2012 in Brüssel",5,"2012-02-27","Berlin",4
174,"Schauble 15-04-17","Eurozone at a crossroads (again)",29,"04-17-2015","Brookings Institution, Washington DC",1
175,"Tsipras 2015-02-21","Tsipras statement regarding the Eurogroup's joint statement - Athens",30,"2015-02-21","www.primeminister.gr",7
177,"Tsipras 2015-03-12","Keynote adress at OECD - Paris",30,"2015-03-12","www.primeminister.gr",7
179,"Tsipras 2015-06-06","Speech addressing Parliament on the issues relating to current negotiation Athens",30,"2015-06-06","www.primeminister.gr",7
180,"Tsipras 2015-06-19","Statement at the Economic Forum in St. Petersburg",30,"2015-06-19","www.primeminister.gr",7
181,"Tsipras, 2015-07-11","Speech in the Greek Parliament concerning the mandate to conclude the negotiation Athens",30,"2015-07-11","www.primeminister.gr",7
182,"Tsipras, 2015-07-23","Speech in the Greek Parliament Athens",30,"2015-07-23","www.primeminister.gr",7
183,"Tsipras, 2015-06-27","Tsipras' address concerning the referendum to bedheld on the 5th of July Athens",30,"2015-06-27","www.primeminister.gr",7
188,"Papandreou 2010-04-29","Economist Conference: Meeting the challenges through leadership strategy Athens",31,"2010-04-29","www.primeminister.gr",7
189,"Papandreou 2010-09-11","Speech at 75th Thessaloniki International Fair Thessaloniki",31,"11-09-2010","www.primeminister.gr",7
190,"Papandreou 2010-06-23","Summit Meeting of the SEECP Heads of State Istanbul",31,"2010-06-23","www.primeminister.gr",7
191,"Papandreou 2011-10-31","Parliamentary Group: Prime Minister's speech Athens",31,"2011-10-31","www.primeminister.gr",7
192,"Papandreou 2011-05-17","Economist Conference: Prime Minister's speech Athens",31,"2011-05-17","www.primeminister.gr",7
193,"Papandreou 2011-01-06","New World: New Capitalism: Symposium in Paris, Prime Minister's speech",31,"2011-01-06","www.primeminister.gr",7
194,"The Times 2010-06-18","Germany won't let the euro train be derailed",34,"06-18-2018",,8
195,"The Times 2010-04-03","Europe's economy is the sick man of the world",34,"04-03-2010",,8
196,"The Times 2010-02-20","Focus on growth",34,"02-20-2010",,8
197,"The Times 2013-02-22","More Monti Medicine",34,"02-22-2013",,8
198,"The Times 2011-12-16","Spain is smiling, so are banks",34,"12-16-2011",,8
199,"The Times 2013-03-26","Leaving the euro is not the road to salvation",34,"03-26-2013",,8
200,"The Guardian 2013-03-23","Tax the Russians: It's the best solution to Cyprus's crisis.",35,"03-23-2013",,8
201,"The Guardian 2010-02-18","Beware calls for hasty cuts",35,"02-18-2010",,8
202,"The Guardian 2010-04-29","The first domino",35,"04-29-2010",,8
203,"The Guardian 2011-11-14","How Europe propped up the buffoon Berlusconi",35,"11-14-2011",,8
204,"The Guardian 2012-06-20","The eurozone's people are like prisoners in Colditz",35,"06-20-2012",,8
205,"The Guardian 2013-03-14","Germany has one last chance to really save the eurozone",35,"03-14-2013",,8
206,"Irish daily mail 2012-04-09","Greece is a zit, Portugal a boil, Spain a tumour",36,"04-09-2012",,8
207,"Weidmann 2011-05-20","Concluding remarks at the Banque de France/Deutsche Bundesbank spring conference on 'Fiscal and monetary policy challenges in the short and long run'",37,"2011-05-20","Hamburg",1
208,"Weidmann 2012-02-24","Containing the sovereign debt crisis - Germany's role and contribution",37,"2012-02-24","Mexico City",1
209,"Weidmann 2013-10-08","The Euro area as a union of stability",37,"2013-10-08","Berlin",1
210,"Weidmann 2014-07-18","Towards a more stable European monetary union",37,"2014-07-18","Madrid",1
211,"The Sun 2013-02-24","Loss of triple A only redoubles our resolve to carry on with the recovery plan for Britain",38,"2013-02-24",,8
212,"The Sun 2010-02-11","Greek tragedy could leave us all in ruins; Europe's single currency in crisis",38,"02-11-2010",,8
213,"The Sun 2009-12-15","Greek economic tragedy proves euro's a disaster",38,"12-15-2009",,8
214,"The Sun 2011-11-02","Greece loses its marbles",38,"11-02-2011",,8
215,"Financial Times 2012-05-07","The only plausible solution to the eurozone crisis",39,"05-07-2012",,8
216,"Financial Times 2010-01-23","Spartan solutions from Brussels will be fought by Athens",39,"01-23-2010",,8
217,"The Sun 2011-06-20","It's not will Eurozone implode ... it's when",38,"06-20-2011",,8
218,"The Sun 2012-07-29","Euro goner...",38,"07-29-2012",,8
219,"Financial Times 2010-04-03","Germany flexes its muscles",39,"04-03-2010",,8
220,"Financial Times 2014-02-10","German judges have strengthened the eurosceptics",39,"02-10-2014",,8
221,"The Irish Times 2010-02-12","Credibility of euro at stake",40,"02-12-2010",,8
222,"The Irish Times 2013-01-30","Easing Ireland's Debt Burden",40,"01-30-2013",,8
223,"The Irish Times 2013-04-24","Beyond the bailout",40,"04-24-2013",,8
224,"Financial Times 2013-06-17","Bond market nerves threaten to end Europe's calm",39,"06-17-2013",,8
225,"Financial Times 2012-06-04","A proper banking union can save the eurozone",39,"06-04-2012",,8
226,"De Telegraaf 2010-12-24","Chinezen zijn geen filantropen",41,"12-24-2010",,8
227,"De Telegraaf 2011-08-18","Machts(mis)greep; schuldencrisis",41,"08-18-2011",,8
228,"De Telegraaf 2012-09-01","Het eerlijke verhaal",41,"09-01-2012",,8
229,"De Telegraaf 2010-03-19","De regie kwijt",41,"03-19-2010",,8
230,"De Telegraaf 2010-04-13","Inflatiespook!",41,"04-13-2010",,8
231,"De Telegraaf 2012-07-28","Woorden",41,"07-28-2012",,8
232,"Weber 2010-03-22","Challenges and opportunities for the competitiveness of EMU member states. The Euro in the financial crisis - the German experience.",6,"2010-03-22","Copenhagen",1
233,"Schauble 2011-05-18","Speech by the German Federal Minister of Finance Dr Wolfgang Schäuble Brussels Economic Forum 2011 “A Comprehensive Strategy for the Stabilization of the Economic and Monetary Union""",29,"2011-05-18","Brussels",9
234,"Het Financieele Dagblad 2010-02-12","Fout Grieken ligt in Brussel",44,"02-12-2010",,8
235,"Draghi 2012-05-24","Address by Mario Draghi, president of the ECB at the day in memory of Federico Caffe organised by the Faculty of Economics and the Department of Economics and Law at the Sapienza University",45,"2012-05-24","Rome",1
236,"Draghi 2011-12-15","The euro, monetary policy and the design of a fiscal compact - ludwig erhard lecture",45,"12-15-2011","Berlin",1
237,"Draghi 2013-12-10","Speech by Mario Draghi, President of the ECB at the conference organised by Banca d'Italia in memory of Curzio Gainnini",45,"2013-12-10","Rome",1
238,"Het Financieele Dagblad 2014-11-15","Interventies van ECB zullen economie in Europa niet uit de brand helpen",44,"11-15-2014",,8
239,"Draghi 2013-02-27","Speech by Mario Draghi, president of the ECB at the Katholische Akademie in Bayern",45,"2013-02-27","Munich",1
240,"Het Financieele Dagblad 2010-03-23","Liever de rechte rug van IMF",44,"03-23-2010",,8
241,"Het Financieele Dagblad 2010-05-28","Duitsland",44,"05-28-2010",,8
242,"Het Financieele Dagblad 2011-09-23","Griekenland als schrikbeeld of als toonbeeld",44,"09-23-2011",,8
243,"Het Financieele Dagblad 2014-06-12","Draghi's parelen voor de zwijnen",44,"12-06-2014",,8
245,"NRC Handelsblad 2011-09-20","Alleen bezuinigen is niet de oplossing voor de eurocrisis",47,"09-20-2011",,8
246,"Noyer 2013-05-24","Current policy debate challenges - a Euro area perspective",12,"2013-05-24","Paris",1
247,"Noyer 2012-10-10","Remaining challenges facing the euro area",12,"2012-10-10","Tokyo",1
248,"Draghi 2012-03-13","Speech by Mario Draghi, president of the ECB at the colloquium 'les defis de la competitivite'",45,"2012-03-13","Paris",1
249,"Knot 2011-10-28","Monetair beleid en de grote financiele crisis",48,"2011-10-28","Breukelen",1
250,"Linde 2012-07-17","Testimony by the Governor of the Banco de Espana before the Parliamentary Committee on Economic Affairs and Competitiveness",49,"2012-07-17","Spain",1
251,"Linde 2013-05-31","Presentation of the annual report 2012, Governor's address to the Governing Council of the Banco de Espana",49,"2013-05-13","Madrid",1
252,"Linde 2014-02-18","Exiting the economic crisis",49,"2014-02-18","Canales Y Puertos",1
253,"NRC Handelsblad 2010-02-17","Dankzij Griekenland daalt eindelijk de euro",47,"02-17-2010",,8
254,"NRC Handelsblad 2014-12-24","Hou in Europa op met schuld en boete",47,"12-24-2014",,8
256,"Volkskrant 2012-06-09","Duitsland krijgt de leidende rol die het nooit heeft willen hebben",50,"06-09-2012",,8
257,"NRC Handelsblad 2013-10-02","Merkel is een succes voor Europa",47,"10-02-2013",,8
258,"Trichet 2009-12-07","Hearing at the Economic and Monetary Affairs Committee of the European Parliament - Introductory statement by Jean-Claude Trichet",10,"2009-12-07","Brussels",1
259,"NRC Handelsblad 2011-09-24","Die rampenscenario's dienen slechts de bancaire belangen",47,"09-24-2011",,8
260,"NRC Handelsblad 2010-04-08","Een natuurlijk proces",47,"04-08-2010",,8
261,"Honohan 2010-02-22","The intertwined recent experience of the Irish and Uk economies",20,"2010-02-22","Cavan",1
262,"Honohan 2009-12-11","Tools for systemic risk assessment in Europe- the parameters of the international financial architecture post crisis",20,"2009-12-11","Vienna",1
263,"Fernández Ordóñez  2009-11-23","Governor's Testimony before the Senate Budgetary Committee",21,"2009-11-23","Madrid",1
264,"Honohan 2014-10-06","Address by Governor Patrick Honohan to University College Dublin Economics Society",20,"2014-10-06","Dublin",1
265,"Honohan 2013-03-19","Address by Governor Honohan to the National Bank of Poland Bi-annual EU Presidency Lecture",20,"2013-03-19","Warsaw",1
266,"Rasmussen 2011-03-01","Prime Minister Lars Løkke Rasmussen's address at The Annual Meeting with Ambassadors in Denmark",51,"2011-03-01","Copenhagen",7
267,"Rutte 2013-04-23","Korte inleiding van Rutte vij de Nieuwspoortlezing",52,"2013-04-23","Den Haag",0
268,"Rutte 2013-06-25","Mark Rutte: 'Europa vergt veel uitleg en overredingskracht'",52,"2013-06-25","Berlijn",7
269,"Honohan 2012-11-13","Insulating the euro from both scepticism and complacency",20,"2012-11-13","Edinburgh",1
