"Speech_Content_ID","Speech_ID","Speech_Content_Title","Speech_Content_Description","User_ID"
308,45,"2-7","euro European integration identity",
309,45,"2-8","euro financial markets price stability",
310,46,"2-6","euro sgp",
311,46,"2-7","sgp",
312,47,"4-6","economic policy euroraum spaltungen",
313,47,"6-4","euro common market solidarity",
314,48,"5-3","sgp convergence criteria",
315,48,"5-4","EZB independence public support",
316,49,"3-1","SGP",
317,50,"1-3","SEA EMU",
318,50,"2-3","Euro",
319,50,"2-4","euro price stability",
320,50,"3-2","euro credibility",
321,50,"3-3","euro financial integration",
322,50,"3-4","euro world currency",
323,50,"4-1","EMU OCA",
324,50,"4-2","Euro convergence criteria",
326,50,"6-3","EMU political union",
327,50,"6-4","ecb independence",
328,50,"6-5","euro",
329,50,"7-1","euro",
330,51,"3-4","EMU eco consequences",
331,51,"3-5","EMU credibility",
332,51,"4-5","euro price stability",
333,51,"5-1","ecb transparancy",
334,51,"5-2","ecb transparancy",
335,51,"5-3","ecb transparancy",
336,51,"10-2","Price stability",
337,51,"10-3","Price stability",
338,51,"10-4","Price stability",
340,51,"11-4","emu economic consequences",
341,51,"14-4","euro trust",
342,51,"15-3","euro economic consequences",
343,51,"15-4","euro enlargement",
344,52,"2-3","public finances Greece",
345,52,"6-6","crisis management tools",
346,52,"7-2","solidarity autonomy",
347,52,"7-3","crisis management",
348,52,"8-1","growth governance",
349,52,"8-3","crisis management tools",
350,52,"8-4","crisis management tools",
351,52,"9-1","governance",
352,52,"9-2","public finances",
353,52,"9-3","SGP sovereignty",
354,52,"9-4","SGP strengthening",
355,52,"9-5","Competitiveness public finances",
356,52,"10-1","competitiveness public finances",
357,53,"1-5","market trust debt",
358,53,"2-1","Eurocrisis EMU public finances",
359,53,"2-2","Eurocrisis contagion",
360,53,"4-1","public finances credibility growth",
361,53,"4-2","crisismanagement spillover",
362,53,"4-3","crisismanagement public finances",
363,53,"4-4","greece public finances",
364,53,"4-5","crisismanagement trust contagion",
365,53,"5-2","crisismanagement stability",
366,53,"5-3","crisismanagement ecb assets",
367,53,"5-4","crisismanagement ecb exchange rate",
368,53,"6-1","public finances european integration",
369,53,"7-3","fin and eurocrisis",
370,54,"2-1","euro stability",
371,54,"3-2","eurocrisis public finances",
373,54,"4-1","eurocrisis eco governance",
374,54,"5-2","crisismanagement peer pressure",
375,54,"5-3","ecb asset purchases",
376,54,"5-4","crisismanagement conditionality",
377,54,"8-2","growth",
378,54,"8-3","euro area convergence",
380,55,"1-2","emu price stability",
381,55,"1-4","emu ecb price stability",
382,55,"2-7","divergence peace prosperity",
383,55,"3-3","euro stability trade",
385,55,"4-6","emu sgp",
386,55,"4-7","ecb fiscal policy",
387,55,"4-9","sgp automatic stabilisers",
388,55,"5-1","inflation public finances",
389,55,"5-2","economic governance sgp",
390,55,"5-4","euro exchange rate inflation",
391,55,"5-5","euro support",
392,55,"5-6","euro succes",
393,55,"5-7","euro world currency",
395,57,"1-8","Eurocrisis solution",4
396,58,"16","ratification of the European Reform Treaty",4
417,64,"1-12","Compact for Growth and Jobs",4
418,64,"1-13","Euro Summit Statement",4
419,64,"2-10","Europe 2020 Strategy",4
420,64,"2-13","Democratic deficit",4
421,65,"1-2","crisis euro area",4
422,65,"1-6","debt",4
423,65,"2-1",,4
425,66,"1-9","Stability Treaty",4
426,66,"1-13","recovery",4
427,66,"2-4","finances",4
428,66,"2-9","EU policies",4
429,66,"2-11","investments",4
430,66,"2-17","job creation",4
431,67,"1-7","economic recovery",4
432,67,"2-4","labour market",4
433,67,"2-5","employment",4
434,67,"3-12","Stability Treaty",4
435,67,"3-14","Ireland's national interest",4
436,68,"1-1","Stability Treaty",4
437,68,"1-2","Ireland's national interest",4
438,68,"1-7","commitment",4
439,68,"1-12","fiscal rules",4
440,69,"1-2","Fiscal Compact Treaty",4
441,69,"1-3","moving beyond crisis",4
442,69,"1-15","SMEs",4
443,69,"2-2","SMEs",4
444,69,"2-5","growth and recovery",4
445,69,"3-6","moving beyond crisis",4
446,69,"3-8","ESFS / ESM",4
447,70,"1-5","avoid future crisis",4
448,70,"1-12","moving beyond crisis",4
449,70,"1-13","budget",4
450,70,"1-19","Treaty",4
451,70,"2-16","Treaty",4
452,70,"3-2","growth",4
453,70,"3-3","growth",4
454,70,"3-13","Europe 2020 Strategy",4
455,72,"5","capacity to provide opportunities and living standards",4
456,71,"2-4","SMEs",4
457,71,"2-10","New Agreement",4
458,72,"11","draw entrepeneurs",4
459,72,"12","tax",4
460,71,"2-12","PSI / ESM",4
461,72,"13","business supports",4
462,71,"2-15","fiscal rules",4
463,71,"2-18","confidence",4
464,72,"14","infrastructure",4
465,72,"15","agencies and institutions",4
466,71,"2-22","banking, confidence",4
467,72,"16","public services",4
468,71,"4-1","trust",4
469,71,"4-11","export",4
470,72,"21","stabilising public finances",4
471,71,"4-24","unemployment",4
472,72,"22","R&D",4
473,71,"5-1","training",4
474,71,"5-2","unemployment",4
475,72,"23","innovative companies",4
476,71,"5-3","Labour Market Activation Fund",4
477,72,"24","green deal",4
478,71,"5-4","enterprise",4
479,72,"25","develop infrastructure",4
480,71,"5-5","support start up",4
481,71,"5-8","optimism",4
482,72,"27","factors of recovery",4
483,71,"5-11","public finances",4
484,72,"28","more for less",4
485,71,"5-16","growth",4
486,72,"30","refocus spending public service",4
487,72,"32","economic stabilisation",4
488,72,"33","plans action areas",4
489,72,"34","reprioritise bussiness of government",4
490,72,"35","transformation irish economy",4
491,72,"36","smart economy",4
492,72,"37","green economy",4
493,72,"38","energy effiency",4
494,72,"40","combinations of competitive economy",4
495,72,"41","elements of framework",4
496,72,"43","sustainable growth",4
497,72,"44","governement pursues",4
498,72,"45","short term",4
499,72,"47","public finances",4
500,72,"48","lose jobs",4
501,72,"50","interests of the country",4
502,72,"51","particiaption",4
503,73,"113-5","The Hague 1970",1
504,73,"113-6","The Hague 1970",1
505,73,"115-5","The Hague 1970, emu",1
506,73,"114-1","eur governance -extension 113-6",1
507,74,"158-2","la haye, fr-g motor",1
508,74,"158-3","la haye, fr-g motor",1
509,75,"46-3","emu",1
510,75,"46-4","emu, int mon system",1
511,75,"46-5","emu, int mon system",1
512,75,"46-7","emu, economic harmonisation",1
513,76,"128-4","fixed exchange rates",1
514,76,"130-2","emu cap",1
515,77,"102-4","The Hague 1970, emu",1
516,77,"102-5","EMU eco consequences",1
517,77,"102-6","EMU speculation",1
518,77,"103-3","EMF economy pooling",1
519,77,"103-4","EMF int mon sys common front",1
520,77,"103-5","EMF int mon sys common front",1
521,78,"3-15","Int. Staatengemeinschaft",4
522,78,"4-15","Lösung fur Libyen",4
523,78,"5-15","Politisch unterstützen",4
524,78,"6-15","Int. Staatengemeinschaft",4
525,80,"3-15","Resolution 1073",4
526,80,"4-15","Lösung",4
527,80,"5-15","Internationale Hilfe",4
528,80,"6-15","Internationale Kooperation",4
529,81,"4-27","Values",4
530,81,"10-27","Priorities",4
531,81,"11-27","Humanitarian situation",4
532,81,"17-27","End of violence",4
533,81,"20-27","Responsibilities",4
534,81,"22-27","New Libya",4
535,81,"23-27","EU action",4
536,81,"24-27","Challenge",4
537,81,"27-27","Challenge",4
538,83,"3-26","Responsibility",4
539,83,"4-26","Security council resolutions",4
540,83,"6-26","Libyan people",4
541,83,"10-26","Finish the job",4
542,83,"11-26","British military",4
543,83,"16-26","Qadhafi",4
544,83,"21-26","Reconstruction",4
545,83,"22-26","reconstruction",4
546,83,"23-26","Political transition",4
547,83,"26-26","Conclusion",4
548,84,"1-6","National Security Council",4
549,84,"2-6","Future",4
550,84,"3-6","Security",4
551,84,"4-6","Aid",4
552,84,"5-6","Diplomacy",4
553,84,"6-6","Support",4
554,85,"1-3","Ghadafi",4
555,85,"2-3","EU action",4
556,85,"3-3","Situation North-Africa",4
557,86,"1-8","Introduction",4
558,86,"2-8","The Middle East Peace Process",4
559,86,"3-8","Arab Spring",4
560,86,"4-8","Task force Tunisia",4
561,86,"5-8","Egypt",4
562,86,"6-8","Reforms",4
563,86,"7-8","Libya",4
564,86,"8-8","Syria and Yemen",4
565,87,"1-6","Introduction",4
566,87,"2-6","Resolution 1973",4
567,87,"3-6","Aid",4
568,87,"4-6","Peace",4
569,87,"5-6","Future",4
570,87,"6-6","Conclusion",4
571,88,"1-7","International cooperation",4
572,88,"2-7","Military action",4
573,88,"3-7","European cooperation",4
574,88,"4-7","Eurozone",4
575,88,"5-7","Economic growth",4
576,88,"6-7","Japan",4
577,88,"7-7","Conclusion",4
578,89,"1-4","Resolution",4
579,89,"2-4","Group meeting",4
580,89,"3-4","Germany",4
581,89,"4-4","Conclusion",4
582,90,"1-3","International community",4
583,90,"2-3","Germany",4
584,90,"3-3","Conclusion",4
585,91,"1-6","Responsibility",4
586,91,"2-6","Libya",4
587,91,"3-6","Arab Spring",4
588,91,"4-6","Human Rights",4
589,91,"5-6","Outputs",4
590,91,"6-6","Conclusion",4
591,92,"1-3","EU-International cooperation",4
592,92,"2-3","Priorities",4
593,92,"3-3","Near future",4
594,93,"261-3",,1
595,94,"53-4","EU & Fr-G friendship",1
596,95,"18-2","public finances",1
597,95,"18-3","public finances",1
598,96,"152-4","EU & Fr-G friendship & Frieden",1
599,96,"153-2","EU & Fr-G friendship EMS",1
600,96,"157-4","fr-d & EMU",1
601,96,"158-2","EU eco mon int",1
602,96,"158-4","EU eco mon coop & Fr-G coop",1
603,96,"159-3","Fr-d sw EU vrede",1
604,97,"62-3","SEA eco int",1
605,97,"63-3","sea public finances",1
609,97,"71-3","decision making eg",1
610,97,"73-2","Price stability eco policy",1
611,97,"75-2","eur eco sw",1
612,97,"75-3","eur mon sw",1
613,97,"75-4","eur mon sw ecb",1
614,97,"76-2","eur mon sw ecb",1
615,98,"106-2","Price stability",1
616,98,"106-4","Price stability",1
617,98,"107-2","Price stability eco policy",1
618,98,"110-3","kap verkeer mon sw",1
619,98,"110-4","emu price stability",1
620,99,"20-3","eg mon",1
621,99,"20-4","eg mon",1
622,99,"21-2","eg",1
623,99,"21-3","eg german question",1
624,99,"21-5","eg german reunification",1
625,93,"262-2",,5
626,93,"262-3",,5
627,93,"263-2",,5
628,100,"2-8",,5
629,100,"2-9",,5
630,100,"2-10",,5
631,100,"2-11",,5
632,100,"2-12",,5
633,100,"2-13",,5
634,100,"3-9",,5
635,100,"4-1/2",,5
636,100,"4-3",,5
637,100,"4-4",,5
638,100,"4-6",,5
639,100,"5-2",,5
640,100,"5-3",,5
641,101,"3-4",,5
642,101,"3-5",,5
643,101,"4-2",,5
644,101,"4-3",,5
645,101,"4-4",,5
646,101,"5-4",,5
647,102,"2-2",,5
648,102,"2-5",,5
649,102,"3-2",,5
650,102,"3-7",,5
651,107,"1-2","financial crisis",4
652,107,"1-3","effect on spain",4
653,107,"2-3","economic governance",4
654,107,"2-5","instability",4
655,107,"2-6","no true economic government",4
656,107,"3-3","economic growth",4
657,107,"3-4","private sector",4
658,107,"3-6","preventing crises",4
659,107,"2-4","renewed instability",4
660,103,"16",,5
661,103,"17",,5
662,103,"22",,5
663,103,"24",,5
664,103,"26",,5
665,103,"28",,5
666,103,"29",,5
667,103,"30",,5
668,103,"31",,5
669,103,"32",,5
670,103,"33",,5
671,103,"34",,5
672,103,"36",,5
673,103,"37",,5
674,103,"38",,5
675,103,"39",,5
676,103,"45",,5
677,103,"46",,5
678,104,"7",,5
679,104,"8",,5
680,104,"9",,5
681,104,"10",,5
682,104,"11",,5
683,104,"12",,5
684,104,"13",,5
685,104,"14",,5
686,104,"15",,5
687,104,"16",,5
688,105,"3",,5
689,105,"7",,5
690,105,"9",,5
691,105,"12",,5
692,105,"18",,5
693,105,"19",,5
694,105,"21",,5
695,105,"29",,5
696,105,"32",,5
697,105,"33",,5
698,105,"35",,5
699,105,"37",,5
700,105,"38",,5
701,105,"46",,5
702,105,"47",,5
703,106,"16",,5
704,106,"17",,5
705,106,"19",,5
706,106,"20",,5
707,106,"21",,5
708,106,"22",,5
709,106,"23",,5
710,106,"26",,5
711,106,"27",,5
712,106,"28",,5
713,106,"29",,5
714,106,"30",,5
715,106,"31",,5
716,106,"32",,5
717,106,"40",,5
718,106,"44",,5
719,106,"45",,5
720,106,"46",,5
721,106,"48",,5
722,106,"50",,5
723,106,"51",,5
724,106,"52",,5
725,106,"55",,5
726,106,"56",,5
727,106,"57",,5
728,106,"58",,5
729,106,"59",,5
730,106,"65",,5
731,106,"69",,5
732,106,"70",,5
733,106,"72",,5
734,106,"73",,5
735,106,"74",,5
736,107,"4-1","major decissions eurogroup",4
737,107,"4-3","rating agencies",4
738,108,"1-3","economic governance",4
739,108,"1-4","permanent crisis mechanism",4
740,108,"1-5","common economic governance",4
741,109,"1-2","two goals presidency",4
742,109,"2-2","message",4
743,109,"2-4","economic governance",4
744,109,"2-5","regulatory reform",4
745,109,"2-10","macroeconomic supervision",4
746,109,"2-11","market tension",4
747,109,"3-2","sgp",4
748,109,"3-3","commitment",4
749,109,"3-4","measures sgp",4
750,109,"3-7","speculation",4
751,109,"4-6","new strategy",4
752,109,"4-7","challenges",4
753,111,"1-1","european governance",4
754,111,"1-3","aid",4
755,111,"1-5","deficiencies",4
756,111,"1-6","ESM",4
757,111,"1-7","procedure",4
758,111,"2-3","sixpack",4
759,111,"2-5","whatever necessary",4
760,111,"2-6","double capital",4
761,111,"5-6","conviction",4
762,112,"2-1","economic governance",4
763,112,"2-2","new phase",4
764,112,"2-3","first step",4
765,112,"2-5","stability eurozone",4
766,113,"1-5","raft of economic meausures",4
767,113,"2-3","reform",4
768,115,"1-3","greek debt",4
769,115,"2-5","response",4
770,115,"2-6","reform",4
771,115,"1-7","private sector commitment",4
772,115,"2-1","flexibility",4
773,116,"1-1","opening",4
774,116,"1-3","situation",4
775,116,"2-3","sovereign debt market",4
776,116,"2-4","instability",4
777,116,"2-6","growth",4
778,116,"3-3","international economic situation",4
779,116,"3-4","concerns",4
780,116,"3-5","sovereign debt market",4
781,116,"4-2","ecb",4
782,116,"4-3","action by ecb",4
783,116,"4-5","economic integration",4
784,116,"4-7","reduction of debt",4
785,116,"7-4","crisis",4
786,116,"8-4","path forward",4
787,117,"1-2","Greece",4
788,117,"1-6","growth",4
789,117,"1-8","global plan",4
790,117,"2-1","debt problems",4
791,117,"2-2","first conclusion",4
792,118,"2-8","crisis",4
793,118,"2-10","governance",4
794,118,"3-1","coordinated response",4
795,118,"3-2","fiscal stimulus",4
796,118,"3-3","reform",4
797,118,"3-5","coordination",4
798,118,"3-6","support for Greece",4
799,118,"3-13","2020",4
800,118,"4-5","governance",4
801,119,"1-3","Greece",4
802,119,"1-7","governance",4
803,119,"2-3","stress tests",4
804,119,"2-5","main issues",4
805,120,"1-1","ESM",4
806,120,"1-3","Instability markets and stock exchange",4
807,120,"1-5","Threat to existence",4
808,120,"1-6","Level of response",4
809,120,"2-2","complex crisis",4
810,120,"2-4","financial system",4
811,120,"3-4","speculation",4
812,120,"3-6","supervision",4
813,120,"3-7","imbalances",4
814,120,"4-7","confidence",4
815,120,"5-5","financial stability",4
816,121,"1-1","reform",4
817,121,"1-3","financial crisis",4
818,121,"1-4","coordination",4
819,121,"1-5","unemployment",4
820,121,"1-6","consequences crisis",4
821,121,"2-1","EU up to the task",4
822,121,"2-2","EU leadership",4
823,122,"1-6","answer of the Eurogroup",4
824,122,"1-7","coordination",4
825,122,"2-1","European leadership",4
826,122,"2-2","innovation",4
827,122,"2-3","climate change",4
828,122,"2-4","financial sector reform",4
829,123,"1-5","economic measures",4
830,123,"2-1","guidelines",4
831,123,"2-5","liquidity",4
832,124,"2-1","European leadership",4
833,124,"2-3","reaction to crisis",4
834,124,"3-3","strength of Europe",4
835,124,"3-4","innovation",4
836,124,"3-6","competitiveness",4
837,124,"4-3","ECB",4
838,124,"4-4","strong euro",4
839,124,"4-5","economic strategy",4
840,124,"4-7","energy",4
841,124,"4-9","leave crisis",4
842,124,"5-2","European model",4
843,124,"5-3","economic and social cohesion",4
844,125,"1-4","financial situation",4
845,125,"1-5","Plan for Economic Recovery",4
846,125,"2-2","decrease of the Euribor",4
847,125,"2-7","reforms",4
848,125,"2-8","reform of the international financial system",4
849,125,"2-10","new supervision system concerning the EU financial system",4
850,126,"1-3","Spanish EU Presidency",4
851,127,"7-5","Eurocrisis",1
852,127,"8-1","Eurocrisis",1
853,127,"8-2","Eurocrisis",1
854,127,"8-3","Eurocrisis",1
855,127,"8-4","Eurocrisis reform",1
856,127,"8-5","Eurocrisis reform",1
857,127,"8-7","Eurocrisis reform",1
858,128,"9-4","EU economic power",1
859,128,"9-5","Euro",1
860,128,"9-6","euro and financial crisis",1
861,128,"10-1","euro public finances",1
862,128,"10-2","euro public finances",1
863,128,"10-3","eurocrisis speculation",1
864,128,"10-4","eurocrisis speculation",1
865,128,"10-5","eurocrisis EMU reform",1
866,128,"10-7","sgp EMU reform",1
867,128,"10-8","europluspact EMU reform",1
868,128,"10-9","esm EMU reform",1
869,128,"11-1","Eurocrisis reform",1
870,128,"11-2","Eurocrisis f-g cooperation",1
871,128,"11-4","EMU reform f-g cooperation",1
872,128,"11-5","EMU reform f-g cooperation",1
873,128,"11-6","EMU reform f-g cooperation",1
874,128,"11-7","eco cooperation f-g cooperation",1
875,129,"3-4","euro",1
876,129,"3-5","euro & crisis",1
877,129,"3-6","public finances france",1
878,129,"4-1","public finances debt brake",1
879,129,"4-3","eco convergence integration EMU",1
880,129,"4-4","eco integration f-g cooperation",1
881,129,"4-6","f-g tax competitiveness",1
882,129,"5-3","euro competitiveness Int mon system",1
883,130,"1-5","common government",4
884,131,"4-6","reaction against the economic crisis",4
885,131,"4-7","plans for economic recovery",4
886,131,"4-8","coordination",4
887,131,"4-9","fiscal thrust",4
888,131,"5-1","great budget efforts",4
889,131,"5-2","modernising reforms",4
890,131,"5-3","renewal of the Lisbon Strategy",4
891,131,"5-4","public resources have been mobilised",4
892,131,"5-7","European supervision system",4
893,131,"5-8","financial supervision at an European level",4
894,131,"6-1","new institutions",4
895,131,"6-4","economic crisis",4
896,132,"3-7","financial market problems",4
897,132,"3-8","normalisation of the credit flow",4
898,132,"4-1","supervision of financial markets",4
899,132,"4-2","EU leadership",4
900,132,"4-9","regulate the financial markets",4
901,132,"5-3","EU resources",4
902,132,"5-4","EU financial aids",4
903,132,"5-10","European Plan for Economic Recovery",4
904,132,"6-1","free trade",4
905,132,"7-1","Euribor",4
